play;lexicon;spoken, total;spoken positive;spoken positive, %;spoken negative;spoken negative, %;stage, total;stage positive;stage positive, %;stage negative;stage negative, %
andreyev-ne-ubiy;RuSentiLex;971;155;15.96292481977343;287;29.55715756951596;340;37;10.882352941176471;67;19.705882352941178
andreyev-ne-ubiy;EmoLex;971;335;34.5005149330587;144;14.830072090628219;340;57;16.76470588235294;54;15.88235294117647
andreyev-ne-ubiy;LinisCrowd;971;140;14.418125643666324;284;29.24819773429454;340;36;10.588235294117647;61;17.941176470588236
andreyev-ne-ubiy;ChenSkiena;971;420;43.25437693099897;131;13.491246138002062;340;73;21.470588235294116;49;14.411764705882351
andreyev-ne-ubiy;ProductSentiRus;971;10;1.0298661174047374;684;70.44284243048403;340;2;0.5882352941176471;221;65.0
andreyev-mysl;RuSentiLex;667;114;17.09145427286357;208;31.184407796101947;233;18;7.725321888412018;59;25.321888412017167
andreyev-mysl;EmoLex;667;256;38.3808095952024;97;14.54272863568216;233;34;14.592274678111588;29;12.446351931330472
andreyev-mysl;LinisCrowd;667;112;16.79160419790105;172;25.787106446776615;233;33;14.163090128755366;39;16.738197424892704
andreyev-mysl;ChenSkiena;667;253;37.93103448275862;116;17.391304347826086;233;39;16.738197424892704;47;20.171673819742487
andreyev-mysl;ProductSentiRus;667;13;1.9490254872563717;490;73.46326836581709;233;1;0.4291845493562232;158;67.81115879828327
andreyev-k-zvezdam;RuSentiLex;997;163;16.349047141424272;256;25.67703109327984;259;8;3.088803088803089;37;14.285714285714285
andreyev-k-zvezdam;EmoLex;997;374;37.512537612838514;157;15.747241725175526;259;30;11.583011583011583;30;11.583011583011583
andreyev-k-zvezdam;LinisCrowd;997;150;15.045135406218657;256;25.67703109327984;259;13;5.019305019305019;30;11.583011583011583
andreyev-k-zvezdam;ChenSkiena;997;387;38.81644934804413;184;18.455366098294885;259;42;16.216216216216218;37;14.285714285714285
andreyev-k-zvezdam;ProductSentiRus;997;26;2.6078234704112337;680;68.20461384152458;259;1;0.3861003861003861;155;59.84555984555985
afinogenov-mashenka;RuSentiLex;831;175;21.058965102286404;154;18.531889290012032;477;34;7.127882599580712;45;9.433962264150944
afinogenov-mashenka;EmoLex;831;286;34.416365824308066;74;8.904933814681106;477;91;19.07756813417191;35;7.337526205450734
afinogenov-mashenka;LinisCrowd;831;167;20.09626955475331;155;18.65222623345367;477;32;6.708595387840671;44;9.224318658280922
afinogenov-mashenka;ChenSkiena;831;340;40.91456077015644;107;12.876052948255115;477;88;18.448637316561843;52;10.90146750524109
afinogenov-mashenka;ProductSentiRus;831;18;2.166064981949458;582;70.03610108303249;477;5;1.0482180293501049;287;60.167714884696025
babel-marija;RuSentiLex;595;78;13.109243697478993;131;22.016806722689076;137;10;7.2992700729927;25;18.248175182481752
babel-marija;EmoLex;595;173;29.075630252100844;67;11.260504201680673;137;22;16.05839416058394;19;13.86861313868613
babel-marija;LinisCrowd;595;56;9.411764705882353;109;18.319327731092436;137;7;5.109489051094891;28;20.437956204379564
babel-marija;ChenSkiena;595;176;29.57983193277311;86;14.453781512605044;137;23;16.78832116788321;34;24.817518248175183
babel-marija;ProductSentiRus;595;10;1.680672268907563;404;67.89915966386555;137;2;1.4598540145985401;91;66.42335766423358
babel-zakat;RuSentiLex;658;64;9.72644376899696;131;19.908814589665656;293;24;8.19112627986348;65;22.18430034129693
babel-zakat;EmoLex;658;182;27.659574468085108;74;11.246200607902736;293;44;15.017064846416384;57;19.453924914675767
babel-zakat;LinisCrowd;658;75;11.398176291793312;120;18.237082066869302;293;24;8.19112627986348;67;22.866894197952217
babel-zakat;ChenSkiena;658;192;29.17933130699088;98;14.893617021276595;293;43;14.675767918088736;73;24.914675767918087
babel-zakat;ProductSentiRus;658;10;1.5197568389057752;405;61.55015197568389;293;0;0.0;182;62.116040955631405
belsky-skazanie-o-nevidimom-grade-kitezhe;RuSentiLex;1439;268;18.62404447533009;301;20.91730368311327;264;29;10.984848484848484;45;17.045454545454543
belsky-skazanie-o-nevidimom-grade-kitezhe;EmoLex;1439;338;23.488533703961085;183;12.717164697706739;264;45;17.045454545454543;32;12.121212121212121
belsky-skazanie-o-nevidimom-grade-kitezhe;LinisCrowd;1439;255;17.720639332870046;251;17.44266851980542;264;30;11.363636363636363;36;13.636363636363635
belsky-skazanie-o-nevidimom-grade-kitezhe;ChenSkiena;1439;387;26.893676164002777;261;18.13759555246699;264;48;18.181818181818183;57;21.59090909090909
