46,"Яна тебя уж так полагаюсь... Яша, а аду ты боишься?"
88,"Иди. Закон не запрещает. А нет ужина, нет денег, так ступай вон, да. Договор есть, договор помнишь: ты меня, Кулабухова, до смерти моей содержи, денег с меня не требуй, а я тебе, дуре, за это в завещании оставлю и Яшке оставлю. Всем оставлю, хе-хе, что? Теперь плачешь, а тогда думала: стар старичок, завтра умрет, а я вот живу и завтра жить буду, и сто лет еще проживу! Я молодец. Думала, говори?"
96,"Сплю. Совершенно спокойно. Зачем мне беспокоиться? -- Я стар, чтобы беспокоиться, я двести лет прожить хочу. Что? Ты зачем мышьяку купила, а? -- мышей травить?"
102,"Врешь! Зверь на четвереньках ходит, а я человек. Вот две ноги, эге, что? У-у, Митька-наследник злой, проклятый, вор, глаза как у волка,-- у, Митька-наследник: не смеешь! Ты меня убьешь, а тебе каторга, двадцать лет, да! Ты меня убьешь, а я тебе по ночам являться буду. Явлюсь! По закону явлюсь, по праву моему явлюсь, над сердцем твоим стану, кровь высосу!"
189,"Яша! Смотри, Яшенька, сюртучок надел. Вот же несчастный."
204,"Господи, а у самого коленки стукаются! Оставьте же его, безжалостные."
216,"Спать я восхотел, Яков. Огорчил он меня. Теперь я сам не свой. Почему он меня не боится? Все грешники боятся, а он нет. Дурак он, что ли, такой или праведник? Нет, на праведника не похож. Хм Вот потеха."
262,"Выдаст! Выдаст, вот увидишь! Ах, как же ты убийственно неосторожен, Яков! Что ж нам теперь делать? Вот ужас."
279,"Я и говорю, что не может: из одной земли все сделаны. Но только почему же, скажите мне, Василиса Петровна, не могу я почувствовать сожаления, ну тоски там, или хотя бы заплакать. Слез ли у меня нету? Вот, например, Маргарита Ивановна: ах, и до чего же она страдает! Ах, и до чего же она мучается!"
289,Вот и вы плачете.
293,"Три раза. Вчера третий раз видела. Яша, голубчик ты мой, пожалей ты меня, я одинокая, я беззащитная! К кому я могу обратиться, кому могу хоть слово сказать -- прятаться я должна, одинокая я, беззащитная я, женщина я слабая."
310,"Господи, на одного себя весь грех беру. Я убил."
312,И задумал я. Я убил.
314,Одного меня карай. Я убил.
316,"За мою душу погибшую дай ей, Господи, отпущение греха. Я убил!"
401,"Нет. Он не несчастен. Мы несчастны, а он нет!"
471,"Хозяину? А где он, этот мошенник, подать мне сюда этого мошенника! У, аршинники, самоварники..."
542,"Да все. Но только, отчего я не могу, например, почувствовать? Другой какой человек, если трезвый не может, так хоть пьяный напьется, до настоящей точки себя доведет, а я Сколько, например, не пью -- только на один глаз и пьян. На один пьян, а другим все подозреваю, как сквозь стекло. И так отчетливо вижу -- ах ты, да скажи ты, до чего отчетливо! Или, например, случается мне кашу заварить: и -- и, чего тут только не бывает, только, только земля не содрогается! -- и все эту кашу хлебают, а у меня ложку черт украл. Вот я какой -- удивительный!"
549,"Княгиня, матушка! Требуют! Горько! Всеобщий бунт и восстание рабов!"
699,А что ж он орет? Я убил. Слыхал? Чучело огородное.
714,Убил?
715,Убил.
734,Яшка! Не смей убивать!
735,"Яшка, не смей убивать."
741,"Да ведь нельзя же убивать -- чудак! Не велено! Не велено! Яша, миленький, голубчик! Не велено!"
758,"Яшка!.. Ушел, Яшка-каторжник, а кровь оставил. Кровь-то, оставил, а? Ну и водка вся, всю я выпил. Водки дай, слышь ты, а то всю избу разворочу. Зверь я теперь, а не человек! У-ух!"
800,"Ты глупая девочка, Леля. Встань. И нельзя быть такой наивной, ты уже не институтка."
823,"Maman, вы плачете?"
824,Я от счастья плачу.
838,"И сколько раз я вам говорила, Мери, чтобы меня не беспокоить в этот час. Если что-нибудь забыли или ваша Фанни Карловна напутала, то можете завтра, а не барабанить в дверь."
841,"Мамочка, я боюсь сумасшедших! Это сумасшедшие?"
852,"Но я боюсь, maman! Все бедные такие злые."
923,Я не убивала.
943,Нет! Я не убивала.
945,"Я не убивала. Князь! Иван Алексеевич! Как я рада, что вы здесь. Я не убивала, он лжет. Он пришел, вы видели, и он говорит, что я убила..."
947,"Иван Алексеевич, послушайте, Иван Алексеевич! -- он схватил меня за руку, вот здесь, и говорит, что я убила. Кого? Я никого не убивала! Это он убил. Я никого не держала. Он -- он хочет с меня денег!"
956,Лелечка Он хотел с меня денег. Это он убил!
959,"Да, ночью. Пошел вон! Ты убил! Убийца!"
972,"Темный осенний день. Дождь. На сцене одна из комнат кулабуховского проклятого дома: пустая, грязная, мерзкая. Рамы в больших барских окнах перекосились, видно, что от окон дует; два стекла в нижних долях рамы разбиты и заменены досточкой; гнилые обои местами отлипли и угрожающе нависают. Обстановки никакой, если не считать большого кухонного стола, как бы брошенного посреди комнаты, и нескольких случайных стульев. За окнами -- окон всего три -- в сетке дождя смутно различаются почерневшие углы и крыши надворных построек, за ними -- голые стволы и ветви большого и старого сада."
985,"Василиса Петровна, слушавшая со страхом, быстро выходит. Кулабухов один. Трясет яростно сухими кулаками, вызывающе хихикает и в то же время почти плачет."
995,(плачет).
1048,(Плачет.)
1049,Плачет.
1171,"Постоялый двор на глухом заброшенном тракте, на окраине небольшого бедного села. Состоит дом из двух половин, разделенных холодными сенцами,-- чистой и грязной. Осень. Ночь. На сцене грязная половина дома -- большая, темная, закопченная комната, с русской, небеленой, давно нетопленной печью. Простые лавки, стол, на котором остатки какой-то еды, два огурца, початая бутылка водки, стаканчик. Голо, бедно. В передней стене два маленьких слепых оконца, за ними -- тьма осенней ночи. Над столом, на стене, жестяная лампочка, с отбитым краем стекла: светит скудно, бросает черные тени и углы оставляет в темноте. На лавке, в тени, сидит Маргарита, думает; на лоб напущен край большого, черного, теплого платка, в который она кутается. В первую минуту, когда поднимается занавес, ее не замечаешь. Где-то -- потом, оказывается, на печке -- храпит спящий Феофан, дышит тяжело, как больной, постанывает. А с чистой половины, где с девками и мужиками пьянствует Яков, глухо доносится визг нескольких гармоник, отрывки песен и непрерывный дробный стук каблуков. По-видимому, там пляшут, но топот настолько непрерывен, непонятен в своей непрерывности, что постепенно начинает казаться чем-то угрожающим, зловещим, небезопасным. Либо изба сейчас развалится, либо это не танцуют, а делают что-то другое -- дурное и жуткое. Может быть, убивают -- или сейчас убьют -- кого-то. Открывается дверь в сенцы и входит Нюша -- востроносая девка-подросток, лет пятнадцати."
1216,(плачущим голосом).
1217,"(Плачет, потом бьет кулаком по столу.)"
1237,"Обе плачут; Лелечка в ногах у княгини, та -- продолжая смотреть на себя в зеркало."
1254,"В некотором замешательстве смотрит на княгиню, затем садится у дальнего столика с альбомом."
1257,Плачет.
1258,"За дверью какой-то шум, впрочем, очень слабый, княгиня его не слышит."
1310,"Задохнувшись, валится на стул. В дальних комнатах многочисленные глухие выстрелы. Один выстрел громче других. Все молча и с ужасом смотрят в открытую черную дверь."
1318,"Нет, Крафт. Путешественники рассказывают интересные вещи про горилл, которых им доводилось наблюдать в естественных условиях их жизни. Оказывается, гориллы так же, как и наши поэты, подвержены меланхолии. Вдруг что-то случается, волосатый пессимист перестает играть и умирает от тоски. Так-таки и умирает -- недурно, Крафт?"
1324,"Разгадайте! Но отойдем, не будем мешать его сну -- от сна он незаметно идет к смерти. И уже теперь, когда он долго спит, в нем наблюдаются признаки трупного окоченения. Садитесь, Крафт."
1339,"Здесь произошла катастрофа, Крафт."
1341,"Да, какая-то катастрофа. Откуда эта тоска у обезьян, эта непонятная и страшная меланхолия, от которой они сходят с ума и умирают в отчаянии?"
1349,"Это тоска, вы понимаете, Крафт? Он шел, но какая-то стена преградила его путь. Понимаете? Он шел, но какая-то катастрофа разразилась над его головой -- и он остановился. А может быть, катастрофа даже отбросила его назад -- но он остановился. Стена, Крафт, катастрофа! Его мозг остановился, Крафт,-- и с ним остановилось все! Все!"
1351,"Да. Есть что-то ужасное в прошлом моего Джайпура, в тех мрачных глубинах, из которых он вышел,-- но он не может рассказать. Он сам не знает! Он только умирает от невыносимой тоски. Мысль! -- Да, конечно, мысль! Да. Та мысль, силу которой мы с вами знаем, Крафт, вдруг изменила ему, вдруг остановилась и стала. Это ужасно! Это ужасная катастрофа, страшнее потопа! И он покрылся волосами снова, он снова стал на четвереньки, он перестал смеяться -- он должен умереть от тоски. Он развенчанный царь, Крафт! Он экс-король земли! От его царств осталось несколько камней, а где владыка -- где жрец -- где царь? Царь бродит по лесам и умирает от тоски. Недурно, Крафт?"
1424,"Оставь! Нет, я серьезно говорю, Таня: это невозможно, я начинаю ненавидеть себя. Трижды проклятое зеркало, которое висит неподвижно и может отражать только то, что само захочет отразиться и проходит мимо. За спиной у зеркала могут совершаться изумительные вещи, а оно отражает в это время какого-то идиота, болвана, которому захотелось поправить галстук!"
1480,"Тяжелая вещь, можно убить человека, если ударить по голове. Куда пошел Алексей?"
